X,Observed_Letter,Observed_Unicode,Expected_Letter,Expected_Unicode
,Latin,,Cyrillic,
1,S,U+0053,Ѕ,U+0405
2,I,U+0049,І,U+0406
3,I,U+0049,Ї,U+0407
4,A,U+0041,А,U+0410
5,B,U+0042,В,U+0412
6,E,U+0045,Е,U+0415
7,K,U+004B,К,U+041A
8,H,U+0048,Н,U+041D
9,O,U+004F,О,U+041E
10,P,U+0050,Р,U+0420
11,C,U+0043,С,U+0421
12,T,U+0054,Т,U+0422
13,Y,U+0059,У,U+0423
14,X,U+0058,Х,U+0425
15,a,U+0061,а,U+0430
16,b,U+0062,в,U+0432
17,e,U+0065,е,U+0435
18,k,U+006B,к,U+043A
19,o,U+006F,о,U+043E
20,p,U+0070,р,U+0440
21,c,U+0063,с,U+0441
22,y,U+0079,у,U+0443
23,x,U+0078,х,U+0445
24,s,U+0073,ѕ,U+0455
25,i,U+0069,і,U+0456
26,i,U+0069,ї,U+0457
27,j,U+006A,ј,U+0458
28,w,U+0077,ѡ,U+0461
30,Greek,,Cyrillic,
31,Π,U+03A0,П,U+041F
32,Ρ,U+0391,Р,U+0420
33,ρ,U+03C1,р,U+0440
34,Β,U+0392,В,U+0412
35,ϲ,U+03F2,с,U+0441
36,Γ,U+0393,Г,U+0413
37,Τ,U+03A4,Т,U+0422
38,Ε,U+0395,Е,U+0415
39,ϕ,U+03D5,ф,U+0444
40,ε,U+03B5,е,U+0435
41,ϵ,U+03F5,э,U+044D
42,Φ,U+03A6,Ф,U+0424
43,ͷ,U+0377,и,U+0438
44,Ͷ,U+0376,И,U+0418
45,Η,U+0397,Н,U+041D
46,Χ,U+03A7,Х,U+0425
47,Ϲ,U+03F9,С,U+0421
48,Κ,U+039A,К,U+041A
49,κ,U+03BA,к,U+043A
50,Ϊ,U+03AA,Ї,U+0407
51,ϊ,U+03CA,ї,U+0457
52,Ϻ,U+039C,М,U+041C
53,Ο,U+039F,О,U+041E
54,ο,U+03BF,о,U+043E
